product_id,customer_id,complaint_id,Complaint_Description,open_date,close_date
PRO058,b495f4cb5075ba6f945da71e64575cc6,1,"Sir
i have ordered eggs with brand name egg master just laid on big basket.
eggs delivered by big basket of ...",08-02-2020 14:52,12-02-2020 14:52
PRO056,d94cfae3194de8e6915bd8adb4e6b77c,2,"Hi Sir, 

I ordered vegetables & milk during lockdown time Rs 353.13 yesterday evening (05/30/21) with my wi...",14-05-2020 07:52,23-05-2020 07:52
PRO071,a5c106ac83bc1dad699205d5a3cad955,3,"I have received 6 month older French fries and kept in freezer, after 8 - 9 days we have tried to fry them but found it ...",11-08-2020 07:04,12-08-2020 07:04
PRO144,3674db4a48cbcbd032d3d2274f9018af,4,"I have placed Bigbasket order of deodorant today with the order amount of 3990 using my paytm wallet.
Bigbasket is saying they didnt receive the amount from paytm and Paytm guys saying over message that its credited to Bigbasket.
How is that possible where did my money go?...",11-05-2020 08:52,17-05-2020 08:52
PRO134,0cfdcf557ac3190fe1a6d0cf88027b2f,5,My order of hand sanitizer did not delivered to me,04-08-2020 16:52,11-08-2020 16:52
PRO031,5ef96fa144b65e2a90bde1f64b2fd5b8,6,"Sir, my order of Red pepper is cancelled by customer care by saying incomplete address but the address is given by me is full.",29-07-2020 05:41,02-08-2020 05:41
PRO096,973a00fde4f53076b6eb120482a4a76a,7,Amount debited from account on 30th April. Bank statement has been sent confirming the same. We were told that money will be refunded.I was ordered almonds.,13-05-2020 21:46,13-05-2020 21:46
PRO099,a76ebbcc72a8eab9fe880c2e7f5aac08,8,I have a complaint about dry coconut which I purchased online. But customer care representative not responding.,07-08-2020 18:04,13-08-2020 18:04
PRO127,94dd8366ec790734b50b0d346e5a1cb6,9, I will never recommend bigbasket and their pathetic service to anyone. I have ordered bucket last month but still not delivered.,10-04-2020 23:26,23-04-2020 23:26
PRO104,34a7113ee408811be7f4bfc68651bde5,10,"They have charged me twice for an order of walnut.
When ever I reach there customer care over phone or email. They are not responding.",15-05-2020 03:24,25-05-2020 03:24
PRO049,5fcd01aff39a8f9922b7026f8ac46b55,11,Am escalating this matter on the poorest quality of  soybean.,19-01-2020 07:13,26-01-2020 07:13
PRO057,ecf406af63d8896d04b79672f2561375,12,"I was out of town for 3 days and but my dailyorder had not delivered to my home, so I had paused my subscription for milk powder.",07-03-2020 03:59,20-03-2020 03:59
PRO029,30dbe53824b3fc7614a23fdfffe04359,13,"Bigbasket has started a dirty game where they are giving sudden huge discounts so that you buy the goods and then cancel them after 2-3 days. Once the order is cancelled the paid amount is not refunded to the original payment source, rather gets credited in BB wallet forcing you to spend only on bigbasket platform. I had ordered potato.",22-01-2020 21:29,06-02-2020 21:29
PRO052,9424e7d8d6bcf78e49b5fe87e73f0f8f,14,"My Order of 5 kg butter fully order not delivered 

From the Bill left by delivery man I find that the its only 3 kg.",12-02-2020 09:19,18-02-2020 09:19
PRO065,8636aa7094b64c56c828f025018a6a44,15,"First of all money deducted from bank two times. And second, I choose the delivery slot of 8-10:30 pm, and now suddenly I got message that my order of cookies will delivered by 5 pm.",16-07-2020 03:45,31-07-2020 03:45
PRO093,b738548b70ef8d6a4f4f925c2dcdeded,16,"I cancelled the order of 1230 Rs of grains(10 kg) which I had paid with credit card.
. I received only 99 Rs to my account wallet.",24-07-2020 14:10,07-08-2020 14:10
PRO027,2ca3e71ac73842efb5a0a9670f8770f3,17,"I wish to highlight below unpleasant experience with M/s. Big Basket, Chattarpur, South Delhi. I had ordered mushrooms but quality is so bad.

I made the o...",22-09-2020 04:19,23-09-2020 04:19
