order_id,payment_value,payment_type,payment_sequential,payment_installments
000229ec398224ef6ca0657da4fc703e,11942,credit_card,1,2
00024acbcdf0a6daa1e931b038114c75,11415,credit_card,1,2
00042b26cf59d7ce69dfabb4e55b4fd9,16458,cash,1,2
00048cc3ae777c65dbb7d2a0634bc1ea,16510,cash,1,2
00054e8431b9d7675808bcb819fb4a32,4170,cash,1,1
000576fe39319847cbb9d288c5617fa6,2370,cash,1,1
0005f50442cb953dcd1d21e1fb923495,9039,credit_card,1,1
00063b381e2406b52ad429470734ebd5,16889,cash,1,2
0006ec9db01a64e59a68b2c340bf65a7,9148,credit_card,1,1
0009792311464db532ff765bf7b182ae,5930,cash,1,1
000aed2e25dbad2f9ddb70584c5a2ded,7390,credit_card,1,1
000e906b789b55f64edcb1f84030f90d,18498,cash,1,2
001021efaa8636c29475e7734483457d,16315,cash,1,2
0010b2e5201cc5f1ae7e9c6cc8f5bd00,7592,credit_card,1,1
0011d82c4b53e22e84023405fb467e57,17646,cash,1,2
00125cb692d04887809806618a2a145f,13622,cash,1,1
0014ae671de39511f7575066200733b7,10790,credit_card,1,1
0015ebb40fb17286bea51d4607c4733c,25012,cash,1,1
00169e31ef4b29deaae414f9a5e95929,50887,cash_and_credit_card,2,3
0016dfedd97fc2950e388d2971d718c7,13601,cash,1,1
0017afd5076e074a48f1f1a4c7bac9c5,8478,credit_card,1,1
001862358bf858722e1e2ae000cfed8b,26567,credit_card,1,1
0019c29108428acffd089c36103c9440,9039,credit_card,1,1
001d8f0e34a38c37f7dba2a37d4eba8b,9260,credit_card,1,1
001daeb0eddc45b999bad0801ad9d273,22123,cash,1,2
001dbc16dc51075e987543d23a0507c7,32863,credit_card,1,1
001e7cf2ad6bef3ade12ebc56ceaf0f3,23836,cash,1,2
002175704e8b209f61b9ad5cfd92b60e,7147,credit_card,1,1
00229e4e43f7a7e0b9dd819ad43268d3,3684,cash,1,1
0025081dcf9330f9a5052ae82c6ce396,8130,credit_card,1,1
00259a44fcad3fc0474329e925d14fc3,22877,cash,1,2
0025c5d1a8ca53a240ec2634bb4492ea,14687,cash,1,1
0026a368634b6e6f34f33b1499773a30,20847,cash,1,2
002834535f7a609a5c68266f173fa59e,18728,cash,1,2
0029c5db35ef291ce99d1262012e7daa,30700,credit_card,1,1
0029f17cf0e7640c5cb6825af681303f,12618,credit_card,1,2
002b430ff89b3a24c31a1170acbbedea,4080,cash,1,1
002b4e6fa42cd4a22cc86abc18fe9c05,18995,cash,1,2
002c9def9c9b951b1bec6d50753c9891,29512,credit_card,1,1
0030d783f979fbc5981e75613b057344,6760,credit_card,1,1
0030ff924c38549807645976adeef2c0,13140,cash,1,1
0032d07457ae9c806c79368d7d9ce96b,8562,credit_card,1,1
003324c70b19a16798817b2b3640e721,14740,cash,1,1
00335b686d693c7d72deeb12f8e89227,9157,credit_card,1,1
00335f75ea6a4455b524a8dd177067f5,28047,credit_card,1,1
00337fe25a3780b3424d9ad7c5a4b35e,8876,credit_card,1,1
00345f338696283410b7977d2e3efc89,7879,credit_card,1,1
0035e6b7ade84b3f5b86bd49814793df,20098,cash,1,2
