product_id,product_category_id,product_name,product_price,product_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_image_path
PRO001,CAT001,Apple,120.0,111,1000.0,3.0,9.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40033824_19-fresho-apple-red-delicious-regular.jpg
PRO002,CAT001,Pears,125.0,203,500.0,5.0,5.0,3.0,https://www.bigbasket.com/media/uploads/p/m/40048445_2-fresho-pear-green-imported.jpg
PRO003,CAT001,Banana,65.0,188,1000.0,14.0,4.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40027989_2-fresho-banana-raw-organically-grown.jpg
PRO004,CAT001,Grape,60.0,224,500.0,4.0,3.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40012866_6-fresho-grapes-thompson-seedless.jpg
PRO005,CAT001,Lemons,35.0,116,300.0,14.0,4.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40023481_4-fresho-lemon-organically-grown.jpg
PRO006,CAT001,Mango,135.0,206,1000.0,9.0,4.0,5.0,https://www.bigbasket.com/media/uploads/p/m/10000298_10-fresho-banganapalli-mango.jpg
PRO007,CAT001,Cherry,50.0,138,100.0,3.0,3.0,3.0,https://www.bigbasket.com/media/uploads/p/m/40217762_1-fresho-cherry.jpg
PRO008,CAT001,Apricots,145.0,177,250.0,6.0,5.0,5.0,https://www.bigbasket.com/media/uploads/p/m/40203666_4-bb-royal-organic-apricots.jpg
PRO009,CAT001,Avocado,120.0,215,450.0,14.0,4.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40202915_4-fresho-avocado.jpg
PRO010,CAT001,Blackberries,350.0,164,150.0,3.0,2.0,2.0,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F7%2F78%2FRipe%252C_ripening%252C_and_green_blackberries.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FBlackberry&tbnid=R-nvHVlphFx0wM&vet=12ahUKEwjh34Gas4jxAhXfr0sFHf4gCoIQMygAegUIARDVAQ..i&docid=gYx-lc0UhZa2mM&w=3394&h=2418&q=Blackberries&ved=2ahUKEwjh34Gas4jxAhXfr0sFHf4gCoIQMygAegUIARDVAQ
PRO011,CAT001,Breadfruit,50.0,245,125.0,14.0,4.0,4.0,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn-a.william-reed.com%2Fvar%2Fwrbm_gb_food_pharma%2Fstorage%2Fimages%2Fpublications%2Ffood-beverage-nutrition%2Fnutraingredients-usa.com%2Fnews%2Fmarkets%2Fresearcher-there-is-enormous-potential-for-breadfruit-in-the-protein-sector%2F11790997-1-eng-GB%2FResearcher-There-is-enormous-potential-for-breadfruit-in-the-protein-sector_wrbm_large.jpg&imgrefurl=https%3A%2F%2Fwww.nutraingredients-usa.com%2FArticle%2F2020%2F09%2F23%2FResearcher-There-is-enormous-potential-for-breadfruit-in-the-protein-sector&tbnid=1AekiQxQSKw1cM&vet=12ahUKEwjaj_H-tIjxAhXBdysKHf_TBJcQMygBegUIARDjAQ..i&docid=WocBY4DLrQt3JM&w=750&h=456&q=Breadfruit&ved=2ahUKEwjaj_H-tIjxAhXBdysKHf_TBJcQMygBegUIARDjAQ
PRO012,CAT001,Cherimoya,50.0,261,150.0,6.0,5.0,4.0,https://www.bigbasket.com/media/uploads/p/m/40217762_1-fresho-cherry.jpg
PRO013,CAT001,Clementine,150.0,106,320.0,7.0,5.0,6.0,https://www.google.com/imgres?imgurl=https%3A%2F%2Fsolidstarts.com%2Fwp-content%2Fuploads%2FClementine-for-Babies-scaled.jpg&imgrefurl=https%3A%2F%2Fsolidstarts.com%2Ffoods%2Fclementine%2F&tbnid=X6Ot32uTdn7ukM&vet=12ahUKEwix4s-5s4jxAhXISCsKHTykAOcQMygDegUIARDjAQ..i&docid=xtnuJLaQLiSxSM&w=2500&h=1875&q=Clementine&ved=2ahUKEwix4s-5s4jxAhXISCsKHTykAOcQMygDegUIARDjAQ
PRO014,CAT001,Coconut Meat,120.0,220,650.0,14.0,4.0,4.0,https://www.google.com/imgres?imgurl=https%3A%2F%2F5.imimg.com%2Fdata5%2FOH%2FIC%2FMY-4090147%2Fmature-coconut-meat-500x500.jpg&imgrefurl=https%3A%2F%2Fwww.indiamart.com%2Fproddetail%2Fmature-coconut-meat-14640356448.html&tbnid=-HsaaBWSWLquOM&vet=12ahUKEwiZhqzNs4jxAhWjsksFHZjAAroQMygBegUIARDdAQ..i&docid=VkWSmh0bkQxJyM&w=500&h=500&q=Coconut%20Meat&ved=2ahUKEwiZhqzNs4jxAhWjsksFHZjAAroQMygBegUIARDdAQ
PRO015,CAT001,Grapefruit,65.0,121,300.0,4.0,3.0,5.0,https://www.bigbasket.com/media/uploads/p/m/30005030_9-fresho-grape-fruit-indian.jpg
PRO016,CAT001,Lychee,140.0,249,500.0,7.0,5.0,6.0,https://www.google.com/imgres?imgurl=https%3A%2F%2Fakm-img-a-in.tosshub.com%2Findiatoday%2Fimages%2Fstory%2F201605%2Flychee-story647_052016105516.jpg%3Fsize%3D1200%3A675&imgrefurl=https%3A%2F%2Fwww.indiatoday.in%2Flifestyle%2Fwellness%2Fstory%2Flychee-5-healthy-reasons-you-to-eat-exotic-fruit-weight-loss-boosts-immunity-skin-imperfection-metabolism-low-calories-summer-heart-stroke-324563-2016-05-20&tbnid=96xe3byiy2jfuM&vet=12ahUKEwiQz8vis4jxAhWHBysKHSOrB2QQMygEegUIARDgAQ..i&docid=JJXKVftggXCV0M&w=1200&h=675&q=Lychee&ved=2ahUKEwiQz8vis4jxAhWHBysKHSOrB2QQMygEegUIARDgAQ
PRO017,CAT001,Orange,135.0,237,120.0,7.0,5.0,6.0,https://www.bigbasket.com/media/uploads/p/m/20000910_12-fresho-orange-imported.jpg
PRO018,CAT001,Pineapple,45.0,234,750.0,23.0,8.0,8.0,https://www.bigbasket.com/media/uploads/p/m/30005195_11-fresho-pineapple-slices.jpg
PRO019,CAT001,Watermelon,180.0,219,785.0,21.0,7.0,8.0,https://www.bigbasket.com/media/uploads/p/m/40023482_7-fresho-watermelon-organically-grown.jpg
